etu_id,nom,prenom,email,date_naissance,telephone,adresse,statut,date_inscription,id_filiere,id_niveau,nom_filiere,code_filiere,nom_niveau,annee_universitaire,id_matiere,session,ann_univ,valeur_note,date_evaluation,commentaire,code_matiere,libelle_matiere,coefficient,semestre
ETU_1,Konaté,Aminata,aminata.konate@etud.universite.edu,2002-03-15,0612345601,"12 rue des Acacias, Dakar",Actif,2026-05-30,1,1,"Génie Logiciel",GL,"Licence 1",2025-2026,1,Normale,2025-2026,14.50,2026-05-30,"Bon travail sur les tris",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_1,Konaté,Aminata,aminata.konate@etud.universite.edu,2002-03-15,0612345601,"12 rue des Acacias, Dakar",Actif,2026-05-30,1,1,"Génie Logiciel",GL,"Licence 1",2025-2026,2,Normale,2025-2026,12.75,2026-05-30,"Maîtrise partielle de l'héritage",INFO102,"Programmation Orientée Objet (Java)",3.00,S2
ETU_1,Konaté,Aminata,aminata.konate@etud.universite.edu,2002-03-15,0612345601,"12 rue des Acacias, Dakar",Actif,2026-05-30,1,1,"Génie Logiciel",GL,"Licence 1",2025-2026,3,Normale,2025-2026,16.00,2026-05-30,"Excellentes requêtes SQL",INFO103,"Bases de Données Relationnelles",2.50,S1
ETU_1,Konaté,Aminata,aminata.konate@etud.universite.edu,2002-03-15,0612345601,"12 rue des Acacias, Dakar",Actif,2026-05-30,1,1,"Génie Logiciel",GL,"Licence 1",2025-2026,5,Normale,2025-2026,11.25,2026-05-30,"Gestion mémoire à retravailler",INFO105,"Systèmes d'Exploitation",2.50,S1
ETU_2,Traoré,Moussa,moussa.traore@etud.universite.edu,2001-07-22,0612345602,"45 avenue de la Paix, Abidjan",Actif,2026-05-30,2,2,"Data Science et Big Data",DSB,"Licence 2",2025-2026,1,Normale,2025-2026,9.50,2026-05-30,"Difficultés sur la récursivité",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_2,Traoré,Moussa,moussa.traore@etud.universite.edu,2001-07-22,0612345602,"45 avenue de la Paix, Abidjan",Actif,2026-05-30,2,2,"Data Science et Big Data",DSB,"Licence 2",2025-2026,13,Normale,2025-2026,15.25,2026-05-30,"Bonne maîtrise de Hadoop",INFO206,"Big Data et NoSQL",2.50,S2
ETU_2,Traoré,Moussa,moussa.traore@etud.universite.edu,2001-07-22,0612345602,"45 avenue de la Paix, Abidjan",Actif,2026-05-30,2,2,"Data Science et Big Data",DSB,"Licence 2",2025-2026,1,Rattrapage,2025-2026,12.00,2026-05-30,"Progrès notables",INFO101,"Algorithmique et Structures de Données",3.00,S1
ETU_3,Dupont,Lucie,lucie.dupont@etud.universite.edu,2000-11-05,0612345603,"8 boulevard Victor Hugo, Lyon",Actif,2026-05-30,3,3,"Intelligence Artificielle",IA,"Licence 3",2025-2026,11,Normale,2025-2026,17.50,2026-05-30,"Excellent sur les réseaux de neurones",INFO204,"Intelligence Artificielle",3.00,S2
ETU_3,Dupont,Lucie,lucie.dupont@etud.universite.edu,2000-11-05,0612345603,"8 boulevard Victor Hugo, Lyon",Actif,2026-05-30,3,3,"Intelligence Artificielle",IA,"Licence 3",2025-2026,12,Normale,2025-2026,18.00,2026-05-30,"Très bonne implémentation scikit-learn",INFO205,"Apprentissage Automatique (Machine Learning)",3.00,S1
ETU_4,Benali,Karim,karim.benali@etud.universite.edu,2003-01-18,0612345604,"23 rue Ibn Battouta, Casablanca",Actif,2026-05-30,4,2,"Cybersécurité et Réseaux",CYB,"Licence 2",2025-2026,4,Normale,2025-2026,13.00,2026-05-30,"Protocoles bien compris",INFO104,"Réseaux Informatiques",2.00,S2
