"1","Dubois","Jean-Michel","jm.dubois@universite.edu","Professeur","2010-09-01"
"2","Benali","Amina","a.benali@universite.edu","Professeur","2008-03-15"
"3","Traoré","Moussa","m.traore@universite.edu","Maître de conférences","2015-10-01"
"4","Fontaine","Claire","c.fontaine@universite.edu","Assistant","2020-09-01"
"5","Nguyễn","Linh","l.nguyen@universite.edu","Maître de conférences","2017-01-15"
"6","Girard","Pierre","p.girard@universite.edu","Professeur","2009-09-01"
"7","Konaté","Fatoumata","f.konate@universite.edu","Professeur","2011-02-01"
"8","Lefebvre","Julien","j.lefebvre@universite.edu","Maître de conférences","2016-09-01"
"9","Mbaye","Ousmane","o.mbaye@universite.edu","Assistant","2021-10-01"
"10","Carpentier","Éric","e.carpentier@universite.edu","Professeur","2007-09-01"
"11","Petit","Sandrine","s.petit@universite.edu","Maître de conférences","2014-03-01"
"12","Diallo","Mamadou","mam.diallo@universite.edu","Professeur","2006-09-01"
"13","Laurent","Hélène","h.laurent@universite.edu","Assistant","2022-09-01"
"14","Rousseau","Frédéric","f.rousseau@universite.edu","Professeur","2010-01-01"
"15","Chevalier","Marie-Anne","ma.chevalier@universite.edu","Maître de conférences","2013-09-01"
"16","Tine","Abdoulaye","a.tine@universite.edu","Maître de conférences","2018-09-01"
"17","Moreau","Sylvie","s.moreau@universite.edu","Professeur","2005-09-01"
"18","Fischer","Daniel","d.fischer@universite.edu","Professeur","2008-02-01"
"19","Dupont","Michel","mi.dupont@universite.edu","Professeur","2019-09-01"
"20","Cissé","Mariam","mar.cisse@universite.edu","Maître de conférences","2016-09-01"
"21","Renard","Eugène","e.renard@universite.edu","Professeur","2011-09-01"
"22","Lopes","Cécile","c.lopes@universite.edu","Assistant","2022-03-01"
"23","Marchal","Isaac","i.marchal@universite.edu","Assistant","2020-09-01"
"24","Hubert","Marc","ma.hubert@universite.edu","Professeur","2012-09-01"
"25","Diakité","Martine","mar.diakite@universite.edu","Assistant","2023-01-01"
"26","Jourdan","David","d.jourdan@universite.edu","Professeur","2009-09-01"
"27","Perrin","Jean-Baptiste","jb.perrin@universite.edu","Maître de conférences","2014-09-01"
"28","Chauveau","Patrick","p.chauveau@universite.edu","Assistant","2018-09-01"
"29","Sow","Aliou","a.sow@universite.edu","Maître de conférences","2015-09-01"
"30","Garnier","Marie","ma.garnier@universite.edu","Assistant","2021-09-01"
"31","Vasseur","Marianne","mar.vasseur@universite.edu","Maître de conférences","2013-09-01"
"32","Lecoq","Philippine","p.lecoq@universite.edu","Professeur","2008-09-01"
"33","Rolland","Valentine","v.rolland@universite.edu","Maître de conférences","2011-09-01"
"34","Gomes","Andrée","a.gomes@universite.edu","Assistant","2019-09-01"
"35","François","Marcel","ma.francois@universite.edu","Maître de conférences","2016-09-01"
"36","Wagner","Thomas","t.wagner@universite.edu","Professeur","2007-09-01"
"37","Bègue","Colette","c.begue@universite.edu","Professeur","2010-09-01"
"38","Weiss","Céline","c.weiss@universite.edu","Assistant","2020-09-01"
"39","Aubry","Guillaume","g.aubry@universite.edu","Maître de conférences","2015-09-01"
"40","Ndiaye","Gabrielle","g.ndiaye@universite.edu","Maître de conférences","2017-09-01"
"41","Charles","Océane","o.charles@universite.edu","Maître de conférences","2018-09-01"
"42","Gilbert","Isabelle","i.gilbert@universite.edu","Professeur","2009-09-01"
"43","Étienne","Matthieu","ma.etienne@universite.edu","Professeur","2006-09-01"
"44","Grégoire","Clémence","c.gregoire@universite.edu","Maître de conférences","2013-09-01"
"45","Faivre","Benoît","b.faivre@universite.edu","Professeur","2010-09-01"
"46","Masson","Honoré","h.masson@universite.edu","Professeur","2012-09-01"
"47","Leroux","Sophie","so.leroux@universite.edu","Maître de conférences","2016-09-01"
"48","Briand","Jeannine","j.briand@universite.edu","Professeur","2005-09-01"
"49","Collin","Alexandre","a.collin@universite.edu","Maître de conférences","2014-09-01"
"50","Bigot","Éléonore","el.bigot@universite.edu","Maître de conférences","2015-09-01"
"51","Lenoir","Alain","al.lenoir@universite.edu","Assistant","2022-09-01"
"52","Macé","Gabriel","ga.mace@universite.edu","Maître de conférences","2017-09-01"
"53","Régnier","Odette","o.regnier@universite.edu","Professeur","2008-09-01"
"54","Lecoq","Lucy","l.lecoq@universite.edu","Assistant","2020-09-01"
"55","Marie","Théodore","th.marie@universite.edu","Maître de conférences","2013-09-01"
"56","Barbier","Cécile","ce.barbier@universite.edu","Assistant","2019-09-01"
"57","Macé","Michelle","mi.mace@universite.edu","Professeur","2007-09-01"
"58","Charrier","Paulette","p.charrier@universite.edu","Maître de conférences","2012-09-01"
"59","Guillou","Franck","f.guillou@universite.edu","Professeur","2011-09-01"
"60","Toussaint","Théophile","th.toussaint@universite.edu","Assistant","2023-09-01"
"61","Riou","Corinne","co.riou@universite.edu","Maître de conférences","2016-09-01"
"62","Philippe","Honoré","ho.philippe@universite.edu","Assistant","2021-09-01"
"63","Ledoux","Isaac","is.ledoux@universite.edu","Assistant","2020-09-01"
"64","Merle","Éléonore","el.merle@universite.edu","Maître de conférences","2014-09-01"
"65","Diarra","Tristan","tr.diarra@universite.edu","Assistant","2022-09-01"
"66","Moreau","Frédéric","fr.moreau@universite.edu","Professeur","2009-09-01"
"67","Le Gall","Olivier","o.legall@universite.edu","Assistant","2021-09-01"
"68","Guillot","Hélène","h.guillot@universite.edu","Professeur","2008-09-01"
"69","Clément","Nathanael","n.clement@universite.edu","Professeur","2010-09-01"
"70","Muller","Patricia","p.muller@universite.edu","Assistant","2020-09-01"
"71","Gosselin","Gilbert","gi.gosselin@universite.edu","Professeur","2007-09-01"
"72","Delmas","Christelle","ch.delmas@universite.edu","Maître de conférences","2015-09-01"
"73","Gaillard","Rémy","r.gaillard@universite.edu","Professeur","2011-09-01"
"74","Séguin","Audrey","a.seguin@universite.edu","Professeur","2009-09-01"
"75","Gimenez","Olivia","o.gimenez@universite.edu","Professeur","2012-09-01"
"76","Blot","Luc","lu.blot@universite.edu","Maître de conférences","2018-09-01"
"77","Langlois","Andrée","a.langlois@universite.edu","Maître de conférences","2017-09-01"
"78","Delahaye","Alix","al.delahaye@universite.edu","Maître de conférences","2016-09-01"
"79","Blondel","Catherine","ca.blondel@universite.edu","Assistant","2021-09-01"
"80","Hoarau","Maurice","ma.hoarau@universite.edu","Maître de conférences","2013-09-01"
"81","Maillot","Alphonse","al.maillot@universite.edu","Professeur","2010-09-01"
"82","Lenoir","Michel","mi.lenoir@universite.edu","Maître de conférences","2015-09-01"
"83","Vasseur","Aimé","ai.vasseur@universite.edu","Maître de conférences","2013-09-01"
"84","Neveu","Louise","lo.neveu@universite.edu","Professeur","2008-09-01"
"85","Rolland","Daniel","da.rolland@universite.edu","Assistant","2019-09-01"
"86","Rémy","David","da.remy@universite.edu","Maître de conférences","2017-09-01"
"87","Gomez","Roger","ro.gomez@universite.edu","Assistant","2022-09-01"
"88","Vallée","Marcel","ma.vallee@universite.edu","Assistant","2021-09-01"
"89","Payet","Monique","mo.payet@universite.edu","Assistant","2020-09-01"
"90","Verdier","Christelle","cr.verdier@universite.edu","Professeur","2006-09-01"
"91","Reynaud","Suzanne","su.reynaud@universite.edu","Assistant","2022-09-01"
"92","Aubert","Étienne","et.aubert@universite.edu","Assistant","2021-09-01"
"93","Delmas","Aurore","au.delmas@universite.edu","Professeur","2010-09-01"
"94","Briand","Antoinette","an.briand@universite.edu","Assistant","2023-09-01"
"95","Chauveau","Bernard","be.chauveau@universite.edu","Assistant","2022-09-01"
"96","Guibert","Madeleine","ma.guibert@universite.edu","Professeur","2009-09-01"
"97","Bonnet","Anne","an.bonnet@universite.edu","Professeur","2011-09-01"
"98","Maillot","Susanne","su.maillot@universite.edu","Maître de conférences","2019-09-01"
"99","Nicolas","Paul","pa.nicolas@universite.edu","Maître de conférences","2012-09-01"
"100","Aubert","Élise","el.aubert@universite.edu","Maître de conférences","2016-09-01"
"101","Baldé","Ibrahima","i.balde@universite.edu","Professeur","2009-09-01"
"102","Touré","Aissatou","a.toure@universite.edu","Maître de conférences","2014-09-01"
"103","Zimmermann","Klaus","k.zimmermann@universite.edu","Professeur","2010-09-01"
"104","Santos","Inês","in.santos@universite.edu","Assistant","2022-09-01"
"105","Koné","Drissa","d.kone@universite.edu","Maître de conférences","2016-09-01"
"106","Garba","Rachida","r.garba@universite.edu","Professeur","2008-09-01"
