"id_etudiant";"nom";"prenom";"date_naissance";"email";"telephone";"adresse";"statut";"date_inscription";"id_filiere";"id_niveau"
1;"Konaté";"Aminata";"2002-03-15";"aminata.konate@etud.universite.edu";"0612345601";"12 rue des Acacias, Dakar";"Actif";"2026-05-30";1;1
2;"Traoré";"Moussa";"2001-07-22";"moussa.traore@etud.universite.edu";"0612345602";"45 avenue de la Paix, Abidjan";"Actif";"2026-05-30";2;2
3;"Dupont";"Lucie";"2000-11-05";"lucie.dupont@etud.universite.edu";"0612345603";"8 boulevard Victor Hugo, Lyon";"Actif";"2026-05-30";3;3
4;"Benali";"Karim";"2003-01-18";"karim.benali@etud.universite.edu";"0612345604";"23 rue Ibn Battouta, Casablanca";"Actif";"2026-05-30";4;2
5;"Fontaine";"Emma";"2002-06-30";"emma.fontaine@etud.universite.edu";"0612345605";"5 allée des Roses, Bordeaux";"Actif";"2026-05-30";1;2
6;"Diallo";"Fatou";"2001-09-12";"fatou.diallo@etud.universite.edu";"0612345606";"67 rue de la Liberté, Conakry";"Actif";"2026-05-30";5;1
7;"Girard";"Pierre-Louis";"2000-04-25";"pierrelouis.girard@etud.universite.edu";"0612345607";"14 impasse des Lilas, Marseille";"Actif";"2026-05-30";6;4
8;"Mbaye";"Ndèye";"2003-08-14";"ndeye.mbaye@etud.universite.edu";"0612345608";"31 avenue Cheikh Anta Diop, Dakar";"Actif";"2026-05-30";7;1
9;"Lefevre";"Thomas";"2001-02-28";"thomas.lefevre@etud.universite.edu";"0612345609";"9 rue Gambetta, Toulouse";"Actif";"2026-05-30";8;3
10;"Coulibaly";"Mariam";"2002-12-01";"mariam.coulibaly@etud.universite.edu";"0612345610";"18 rue Kwame Nkrumah, Bamako";"Actif";"2026-05-30";9;2
11;"Rousseau";"Anaïs";"2001-05-17";"anais.rousseau@etud.universite.edu";"0612345611";"7 place de la Mairie, Nantes";"Actif";"2026-05-30";10;4
12;"Sow";"Ibrahima";"2000-10-08";"ibrahima.sow@etud.universite.edu";"0612345612";"25 avenue Kennedy, Thiès";"Actif";"2026-05-30";11;1
13;"Chevalier";"Marie";"2003-03-22";"marie.chevalier@etud.universite.edu";"0612345613";"3 rue du Château, Rennes";"Actif";"2026-05-30";12;2
14;"Diarra";"Oumar";"2002-07-11";"oumar.diarra@etud.universite.edu";"0612345614";"52 boulevard de l'Indépendance, Bamako";"Actif";"2026-05-30";13;3
15;"Laurent";"Julien";"2001-11-30";"julien.laurent@etud.universite.edu";"0612345615";"11 rue de la Paix, Paris";"Actif";"2026-05-30";14;2
16;"Ndiaye";"Rokhaya";"2000-08-19";"rokhaya.ndiaye@etud.universite.edu";"0612345616";"6 avenue Léopold Sédar Senghor, Dakar";"Actif";"2026-05-30";15;4
17;"Wagner";"Léa";"2003-04-05";"lea.wagner@etud.universite.edu";"0612345617";"29 rue des Peupliers, Strasbourg";"Actif";"2026-05-30";16;2
18;"Diakité";"Adama";"2002-09-23";"adama.diakite@etud.universite.edu";"0612345618";"44 rue de la République, Abidjan";"Actif";"2026-05-30";17;1
19;"Petit";"Camille";"2001-01-15";"camille.petit@etud.universite.edu";"0612345619";"17 avenue Jean Jaurès, Grenoble";"Actif";"2026-05-30";18;5
20;"Baldé";"Mamadou";"2000-06-27";"mamadou.balde@etud.universite.edu";"0612345620";"8 rue du Commerce, Conakry";"Actif";"2026-05-30";19;1
21;"Garnier";"Lucas";"2003-02-14";"lucas.garnier@etud.universite.edu";"0612345621";"35 allée des Platanes, Montpellier";"Actif";"2026-05-30";20;2
22;"Touré";"Djeneba";"2002-08-09";"djeneba.toure@etud.universite.edu";"0612345622";"13 rue Modibo Kéïta, Bamako";"Actif";"2026-05-30";3;2
23;"Perrin";"Clément";"2001-12-03";"clement.perrin@etud.universite.edu";"0612345623";"20 rue Saint-Nicolas, Lille";"Actif";"2026-05-30";6;4
24;"Koné";"Drissa";"2003-05-28";"drissa.kone@etud.universite.edu";"0612345624";"39 boulevard Thomas Sankara, Ouagadougou";"Actif";"2026-05-30";1;4
25;"Martin";"Sophie";"2000-09-16";"sophie.martin@etud.universite.edu";"0612345625";"2 rue des Magnolias, Nice";"Actif";"2026-05-30";7;4
26;"Cissé";"Alioune";"2002-03-04";"alioune.cisse@etud.universite.edu";"0612345626";"48 avenue de la Gare, Thiès";"Actif";"2026-05-30";2;2
27;"Moreau";"Isabelle";"2001-07-19";"isabelle.moreau@etud.universite.edu";"0612345627";"16 rue des Boulangers, Bordeaux";"Actif";"2026-05-30";13;1
28;"Sarr";"Binta";"2003-11-07";"binta.sarr@etud.universite.edu";"0612345628";"5 rue Blaise Diagne, Dakar";"Actif";"2026-05-30";13;3
29;"Hubert";"Marc";"2000-04-13";"marc.hubert@etud.universite.edu";"0612345629";"27 avenue des Martyrs, Nantes";"Actif";"2026-05-30";15;3
30;"Sanogo";"Youssouf";"2002-08-25";"youssouf.sanogo@etud.universite.edu";"0612345630";"61 rue de la Fraternité, Bouaké";"Actif";"2026-05-30";14;5
31;"Dubois";"Antoinette";"2001-01-31";"antoinette.dubois@etud.universite.edu";"0612345631";"4 impasse du Moulin, Toulouse";"Actif";"2026-05-30";16;2
32;"Ba";"Aïssatou";"2000-05-20";"aissatou.ba@etud.universite.edu";"0612345632";"19 avenue Président Bourguiba, Kaolack";"Actif";"2026-05-30";7;3
33;"Leroy";"Simon";"2003-09-08";"simon.leroy@etud.universite.edu";"0612345633";"33 rue de la Fontaine, Strasbourg";"Actif";"2026-05-30";7;1
34;"Dembélé";"Lassina";"2002-03-15";"lassina.dembele@etud.universite.edu";"0612345634";"72 avenue de l'Unité, Sikasso";"Actif";"2026-05-30";19;5
35;"Petit";"Alexandre";"2001-10-24";"alexandre.petit@etud.universite.edu";"0612345635";"9 rue Condorcet, Lyon";"Actif";"2026-05-30";2;3
36;"Gueye";"Fatimata";"2000-08-04";"fatimata.gueye@etud.universite.edu";"0612345636";"14 rue Mermoz, Dakar";"Actif";"2026-05-30";2;1
37;"Bernard";"Danielle";"2003-02-17";"danielle.bernard@etud.universite.edu";"0612345637";"22 avenue de la Victoire, Bordeaux";"Actif";"2026-05-30";19;4
38;"Fofana";"Samba";"2002-06-12";"samba.fofana@etud.universite.edu";"0612345638";"37 rue des Mineurs, Conakry";"Actif";"2026-05-30";17;5
39;"Lecomte";"Jeannine";"2001-10-20";"jeannine.lecomte@etud.universite.edu";"0612345639";"11 allée des Chênes, Nantes";"Actif";"2026-05-30";6;1
40;"Coulibaly";"Berkissa";"2003-09-21";"berkissa.coulibaly@etud.universite.edu";"0612345640";"83 avenue de la Mosquée, Abidjan";"Actif";"2026-05-30";17;1
41;"Lefebvre";"Laurent";"2001-09-28";"laurent.lefebvre@etud.universite.edu";"0612345641";"6 rue des Rossignols, Montpellier";"Actif";"2026-05-30";6;1
42;"Diop";"Suzanne";"2002-07-27";"suzanne.diop@etud.universite.edu";"0612345642";"28 avenue Cheikh Anta, Dakar";"Actif";"2026-05-30";20;1
43;"Morel";"Daniel";"2001-01-10";"daniel.morel@etud.universite.edu";"0612345643";"51 boulevard des Nations, Paris";"Actif";"2026-05-30";8;4
44;"Camara";"Michelle";"2002-07-09";"michelle.camara@etud.universite.edu";"0612345644";"16 rue de la Solidarité, Conakry";"Actif";"2026-05-30";4;5
45;"Picard";"Anne-Sophie";"2001-06-10";"annesophie.picard@etud.universite.edu";"0612345645";"3 avenue des Lilas, Marseille";"Actif";"2026-05-30";8;5
46;"Sylla";"Mariama";"2002-11-10";"mariama.sylla@etud.universite.edu";"0612345646";"44 rue 22 Mars, Conakry";"Actif";"2026-05-30";20;1
47;"Mercier";"Thibaut";"2001-04-26";"thibaut.mercier@etud.universite.edu";"0612345647";"8 rue Pasteur, Rennes";"Actif";"2026-05-30";20;1
48;"Kouyaté";"Modibo";"2001-09-21";"modibo.kouyate@etud.universite.edu";"0612345648";"57 avenue de la Jeunesse, Bamako";"Actif";"2026-05-30";14;5
49;"Perrot";"Chantal";"2002-12-04";"chantal.perrot@etud.universite.edu";"0612345649";"13 impasse du Tilleul, Grenoble";"Actif";"2026-05-30";19;5
50;"Keita";"Maïmouna";"2001-04-18";"maimouna.keita@etud.universite.edu";"0612345650";"9 avenue de l'Amitié, Bamako";"Actif";"2026-05-30";11;3
51;"Thomas";"Thérèse";"2000-05-28";"therese.thomas@etud.universite.edu";"0612345651";"21 rue du Lac, Annecy";"Actif";"2026-05-30";7;3
52;"Bah";"Abdoulaye";"2001-10-28";"abdoulaye.bah@etud.universite.edu";"0612345652";"35 avenue Hadja Mariama, Labé";"Actif";"2026-05-30";8;3
53;"Bertrand";"Claude";"2000-08-25";"claude.bertrand@etud.universite.edu";"0612345653";"7 rue de Rivoli, Paris";"Actif";"2026-05-30";13;2
54;"Sangaré";"Marthe";"2001-12-10";"marthe.sangare@etud.universite.edu";"0612345654";"23 avenue Mobil Oil, Bouaké";"Actif";"2026-05-30";10;4
55;"Leclerc";"Marcelle";"2000-07-03";"marcelle.leclerc@etud.universite.edu";"0612345655";"15 rue Molière, Bordeaux";"Actif";"2026-05-30";11;1
56;"Diallo";"Mamadou Alpha";"2001-04-24";"mamadoualpha.diallo@etud.universite.edu";"0612345656";"41 boulevard Alpha Yaya, Conakry";"Actif";"2026-05-30";1;4
57;"Beaumont";"Cécile";"2001-09-05";"cecile.beaumont@etud.universite.edu";"0612345657";"10 rue des Jardins, Toulouse";"Actif";"2026-05-30";20;5
58;"Faye";"Capucine";"2002-10-31";"capucine.faye@etud.universite.edu";"0612345658";"62 avenue Blaise Diagne, Thiès";"Actif";"2026-05-30";4;1
59;"Renard";"Noémi";"2001-06-26";"noemi.renard@etud.universite.edu";"0612345659";"5 rue Victor Hugo, Nantes";"Actif";"2026-05-30";18;2
60;"Baldé";"Robert";"2002-04-12";"robert.balde@etud.universite.edu";"0612345660";"77 avenue des Combattants, Conakry";"Actif";"2026-05-30";17;3
61;"Garba";"Brigitte";"2001-09-23";"brigitte.garba@etud.universite.edu";"0612345661";"18 quartier Plateau, Niamey";"Actif";"2026-05-30";5;3
62;"Renaud";"Xavier";"2000-11-06";"xavier.renaud@etud.universite.edu";"0612345662";"33 rue de la Liberté, Strasbourg";"Actif";"2026-05-30";3;2
63;"Barry";"Nicolas";"2001-12-05";"nicolas.barry@etud.universite.edu";"0612345663";"50 avenue du Port, Boke";"Actif";"2026-05-30";12;3
64;"Benoît";"Christophe";"2002-06-19";"christophe.benoit@etud.universite.edu";"0612345664";"25 rue des Artisans, Toulouse";"Actif";"2026-05-30";6;4
65;"Sawadogo";"Charles";"2001-12-05";"charles.sawadogo@etud.universite.edu";"0612345665";"11 secteur 5, Ouagadougou";"Actif";"2026-05-30";18;3
66;"Nguyen";"Hortense";"2001-11-18";"hortense.nguyen@etud.universite.edu";"0612345666";"6 rue des Bons Enfants, Lyon";"Actif";"2026-05-30";20;5
67;"Léger";"Odette";"2002-01-17";"odette.leger@etud.universite.edu";"0612345667";"29 allée des Mimosas, Nice";"Actif";"2026-05-30";1;5
68;"Bamba";"Matthieu";"2000-01-19";"matthieu.bamba@etud.universite.edu";"0612345668";"34 avenue Houphouët-Boigny, Abidjan";"Actif";"2026-05-30";10;1
